Таны хүйс,Та хэддүгээр курсэд суралцдаг вэ?,1. Та өдөрт хэдэн цагийг замын түгжрэлд өнгөрүүлдэг вэ?,2. Танд замын түгжрэл хэр их нөлөөлдөг вэ?,3. Та ямар тээврийн хэрэгслээр зорчдог вэ?,4. Замын түгжрэлийг багасгахын тулд хувийн тээврийн хэрэгслийн оронд автобусаар зорчихыг дэмжих үү?,"5. Түгжрэл зохицуулах тэгш сондгой гэсэн шийдвэр хэр үр дүнтэй байсан бэ?
/1–ээс 10-ын хооронд үнэлнэ үү /","6. Замын цагдаагийн түгжрээ зохицуулалт хэр сайн нөлөөтэй вэ?
/1–ээс 10-ын хооронд үнэлнэ үү /",7. Түгжрэлд байхдаа ямар нэгэн сонирхолтой эсвэл өөрийнхөө мэдлэгийг тэлэх зүйл хийхийг хүсдэг үү?,8. Та аль дүүргүүдийн замаар ихэвчлэн явдаг вэ?,9. Долоон хоногт хэдий хэмжээний төгрөгт бензин хийдэг вэ?,"10.  Түгжрэлээс үүдэн хэр их стрессддэг вэ?
/1-10 хооронд үнэлнэ үү/"
Эмэгтэй,V болон түүнээс дээш,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,1,4,Тийм,Сонгино хайрхан,0,8
Эмэгтэй,II курс,4,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,6,1,Үгүй,Баянзүрх,40000,8
Эмэгтэй,II курс,1,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,5,Тийм,"Баянзүрх, Сонгино хайрхан, Хан-Уул",0,6
Эрэгтэй,IV курс,0,Бараг нөлөөлдөггүй,Явган,Тийм,1,6,Сайн мэдэхгүй,Баянзүрх,0,1
Эмэгтэй,II курс,1,Бараг нөлөөлдөггүй,Явган,Тийм,4,4,Үгүй,Чингэлтэй,0,5
Эмэгтэй,II курс,3.5,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,10,4,Тийм,"Баянгол, Баянзүрх, Сонгино хайрхан, Чингэлтэй, Хан-Уул",0,10
Эмэгтэй,II курс,3.5,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,7,Тийм,Баянзүрх,0,9
Эмэгтэй,II курс,0.75,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,5,Тийм,Хан-Уул,0,3
Эрэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,8,4,Тийм,Баянзүрх,0,8
Эмэгтэй,II курс,1,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,7,6,Үгүй,Баянзүрх,0,8
Эмэгтэй,II курс,2.5,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,5,Үгүй,Хан-Уул,0,5
Эмэгтэй,III курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,6,3,Тийм,Баянзүрх,40000,10
Эрэгтэй,III курс,3,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,5,5,Тийм,Баянгол,60000,10
Эрэгтэй,IV курс,4,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,6,8,Үгүй,Баянзүрх,100000,10
Эрэгтэй,V болон түүнээс дээш,6,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Үгүй,6,5,Тийм,"Баянгол, Хан-Уул",70000,10
Эмэгтэй,I курс,2.5,Маш их нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,8,6,Үгүй,"Баянзүрх, Хан-Уул",60000,10
Эрэгтэй,II курс,1,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,3,3,Тийм,Хан-Уул,0,10
Эрэгтэй,IV курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,7,5,Сайн мэдэхгүй,Баянзүрх,50000,7
Эмэгтэй,I курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,10,1,Тийм,Баянзүрх,0,10
Эрэгтэй,IV курс,2,Бага зэрэг нөлөөлдөг,Явган,Тийм,3,4,Үгүй,,0,8
Эрэгтэй,IV курс,3,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,2,5,Тийм,"Баянгол, Баянзүрх",0,9
Эрэгтэй,IV курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,2,2,Тийм,"Баянгол, Баянзүрх, Сонгино хайрхан",120000,7
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,3,6,Үгүй,Чингэлтэй,0,8
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,7,2,Сайн мэдэхгүй,Баянзүрх,0,10
Эрэгтэй,III курс,2,Ер нь л нөлөөлдөг,Хувийн тээврийн хэрэгсэл,Сайн мэдэхгүй,4,7,Сайн мэдэхгүй,Хан-Уул,40000,9
Эмэгтэй,I курс,2,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,5,Тийм,Хан-Уул,0,8
Эмэгтэй,IV курс,1.5,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,5,8,Тийм,"Баянзүрх, Хан-Уул",0,7
Эмэгтэй,I курс,2,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,6,2,Тийм,Баянзүрх,30000,5
Эмэгтэй,II курс,3,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,1,1,Тийм,"Баянгол, Баянзүрх",0,10
Эмэгтэй,II курс,2.5,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,1,1,Тийм,"Баянгол, Баянзүрх",0,9
Эмэгтэй,III курс,0,Бага зэрэг нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Үгүй,3,8,Үгүй,"Баянгол, Хан-Уул",0,7
Эрэгтэй,IV курс,1,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,4,1,Тийм,Баянгол,3000,8
Эрэгтэй,IV курс,2,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,4,1,Тийм,Баянгол,4000,7
Эмэгтэй,I курс,2,Маш их нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Тийм,7,5,Тийм,"Баянгол, Баянзүрх, Чингэлтэй, Хан-Уул",0,10
Эмэгтэй,II курс,2,Ер нь л нөлөөлдөг,Нийтийн тээврийн хэрэгсэл,Сайн мэдэхгүй,3,3,Тийм,Баянзүрх,0,7
